x,Curve1
89.01054,1.0346
89.20176,1.0342
89.39299,1.0339
89.58421,1.0335
89.77544,1.0331
89.96666,1.0327
90.15789,1.0324
90.2645,1.0211
90.32617,1.2089
90.34721,1.5692
90.40267,2.0223
90.47442,2.2531
90.56331,2.4818
90.73924,2.7291
90.92282,2.9056
91.1064,3.0821
91.28998,3.2232
91.48121,3.2936
91.66479,3.3993
91.84836,3.5051
92.03959,3.5755
92.22317,3.6458
92.41439,3.6808
92.52578,3.7845
92.59033,3.9635
92.63957,4.2066
92.72801,3.9278
92.89629,4.352
93.02634,4.9177
93.14873,5.5541
93.25584,6.2967
93.35529,7.0393
93.45474,7.8173
93.53889,8.5954
93.62305,9.3734
93.69955,10.1868
93.77606,11.0002
93.85257,11.8136
93.92142,12.627
93.99028,13.4405
94.06679,14.2892
94.13565,15.1027
94.21215,15.9161
94.28866,16.7295
94.36516,17.5075
94.44932,18.3209
94.54112,19.0989
94.64057,19.8415
94.70177,20.1686
94.78496,20.4183
94.86431,20.2103
94.90829,19.9471
95.01536,19.2041
95.13773,18.5318
95.2754,17.9656
95.43602,17.5408
95.59664,17.1514
95.78021,16.868
95.96379,16.7262
96.15501,16.6904
96.33859,16.5486
96.52216,16.5129
96.71339,16.5125
96.90461,16.5121
97.09584,16.5117
97.28706,16.476
97.47064,16.511
97.66186,16.4399
97.84543,16.4041
