X-Location (inches),Pressure (Psi)
89.607,0.358307
89.761,0.360287
89.915,0.348592
90.069,0.358391
90.223,0.352417
90.377,0.358221
90.531,0.37801
90.684,0.544611
90.838,0.69063
90.992,0.914959
91.146,0.976385
91.3,1.08051
91.454,1.06341
91.607,0.98743
91.761,1.08345
91.915,0.960906
92.069,1.01851
92.223,1.14551
92.377,1.1167
92.757,1.21606
92.875,1.33826
93.113,2.10894
93.232,2.49661
93.35,2.95621
93.469,3.30799
93.588,3.67202
93.707,4.37031
93.825,4.68137
93.944,5.02492
94.063,5.22226
94.181,5.42297
94.3,5.75848
94.419,6.52162
94.538,6.77488
94.824,6.45327
95.018,6.40832
95.208,6.0082
95.399,5.93336
95.591,5.94788
95.782,5.94351
95.974,5.83921
96.165,5.8527
96.357,5.90236
96.548,5.90479
96.827,5.85378
97.21,5.75783
97.593,5.69794
