X-Location (inches),HeatFlux 9but/ft^2-s)
9.892,13.6125
16.892,46.6607
17.892,48.8718
18.892,49.4007
19.892,46.9138
20.892,44.9594
22.761,44.4353
24.672,42.9982
25.257,41.2202
25.842,45.5398
27.827,41.3887
28.842,44.0902
33.342,40.1074
36.342,41.0884
40.842,41.8446
42.217,38.6577
43.592,42.7419
48.516,36.627
51.216,37.0067
53.916,41.6115
56.616,37.2965
59.316,36.1679
66.405,34.1454
70.365,35.5927
74.326,37.0099
78.287,35.5188
82.248,43.1894
86.209,38.3899
89.607,34.9784
89.761,36.5174
89.915,40.2403
90.069,34.6215
90.223,34.8514
90.377,37.9392
90.531,35.919
90.684,39.2004
90.838,38.9258
90.992,34.9116
91.146,37.3281
91.3,38.3622
91.454,36.1434
91.607,35.4628
91.761,35.4615
91.915,36.988
92.069,39.869
92.223,33.6472
92.377,34.3617
92.531,66.8413
92.757,264.53
92.875,410.04
92.994,490.213
93.113,501.543
93.35,462.941
93.469,430.367
93.707,415.646
93.825,386.064
93.944,375.737
94.063,373.224
94.181,380.727
94.3,371.31
94.419,362.334
94.538,360.687
94.656,362.414
94.824,361.745
95.018,337.602
95.208,342.679
95.399,326.31
95.591,314.63
95.974,321.428
96.165,323.963
96.357,319.319
96.548,324.809
97.133,322.954
97.44,311.489
97.746,301.277
